hotel_id,nome,old_destino_id,pais_code,razao
287767,Hofburg,21867,,
287768,[[Budapest/Budavár,21867,,
287769,[[Prague/Castle and Lesser Town,21867,,
287770,Royal Palace of Turin,21867,,
287771,Quirinal Palace,21867,,
287772,Palazzo Pitti,21867,,
287773,Royal Palace of Caserta,21867,,
287774,Dresden Castle,21867,DE,cidade
287775,Palace of Ajuda,21867,,
287776,Palace of Queluz,21867,,
287777,Royal Palace of Romania,21867,RO,pais
287778,Cotroceni Palace,21867,,
289207,"[[Amsterdam]], Netherlands",22000,NL,bracket
289209,"[[Cambridge]], England",22000,GB,bracket
289210,"[[Edinburgh]], Scotland",22000,GB,bracket
289211,"[[Glasgow]], Scotland",22000,GB,bracket
289212,"[[London]], England",22000,CA,bracket
289213,[[Worcester (England),22000,GB,pais
289214,"[[York]], England",22000,GB,bracket
289215,"[[Yerevan]], Armenia",22000,AM,bracket
289216,"[[Bayreuth]], Germany",22000,DE,bracket
289217,"[[Berlin]], Germany",22000,DE,bracket
289218,"[[Bonn]], Germany",22000,DE,bracket
289221,"[[Dresden]], Germany",22000,DE,bracket
289222,"[[Eisenach]], Germany",22000,DE,bracket
289225,"[[Halle]], Germany",22000,DE,bracket
289226,"[[Hamburg]], Germany",22000,DE,bracket
289227,"[[Leipzig]], Germany",22000,DE,bracket
289228,"[[Munich]], Germany",22000,DE,bracket
289232,"[[Salzburg]], Austria",22000,AT,bracket
289234,"[[Weimar]], Germany",22000,DE,bracket
289235,"[[Żelazowa Wola]], Poland",22000,PL,pais
289236,"[[Bordeaux]], France",22000,FR,bracket
289237,"[[Lille]], France",22000,FR,bracket
289238,"[[Montfort-l'Amaury]], France",22000,FR,pais
289239,"[[Paris]], France",22000,FR,bracket
289240,"[[Saint-Germain-en-Laye]], France",22000,FR,bracket
289241,"[[Strasbourg]], France",22000,FR,bracket
289242,"[[Aranjuez]], Spain",22000,ES,bracket
289244,"[[Lisbon]], Portugal",22000,PT,bracket
291006,Kirstenbosch National Botanical Garden,22161,,
291008,Namib-Naukluft National Park,22161,GB,pais
291009,China National Botanical Garden,22161,CN,pais
291010,Qinling National Botanical Garden,22161,,
291011,South China National Botanical Garden,22161,CN,pais
291012,Yuyuan Garden,22161,,
291013,Bogor Botanical Gardens,22161,ID,cidade
291014,National Botanical Garden of Iran,22161,,
291015,Batu Pahat Botanical Park,22161,ID,cidade
291016,[[Kuala Lumpur/Botanical Garden,22161,,
291017,Melaka Botanical Garden,22161,,
291018,National Botanical Garden Shah Alam,22161,,
291019,Penang Botanic Gardens,22161,MY,cidade
291020,Putrajaya Botanical Garden,22161,MY,cidade
291021,Rimba Ilmu Botanical Gardens,22161,,
291022,Zaharah Botanic Gardens,22161,,
291023,National Kandawgyi Gardens,22161,,
291024,Singapore Botanic Gardens,22161,SG,pais
291025,Botanic Garden Meise,22161,,
291026,Kaisaniemi Botanic Garden,22161,,
291027,Hatanpää Arboretum,22161,,
291028,Jardin botanique de Bordeaux,22161,,
291029,Jardin des Plantes,22161,,
