destino_id,destino_nome,pais,pais_code,hotel_count
26216,Sainte-Anne-de-Sorel,XX,XX,15
23042,Le Corbusier World Heritage,XX,XX,15
16485,South Portland,XX,XX,15
27591,Zuru,XX,XX,15
27191,Taijiang,XX,XX,15
26075,Penicuik,XX,XX,15
28016,Domus de janas in Sardinia,XX,XX,15
21916,Outer Islands and Mainland Inlets,XX,XX,15
25390,Ciales,XX,XX,15
25752,Bodija,XX,XX,15
18286,Waianae,XX,XX,15
24472,Beigan,XX,XX,15
19062,Zaporizhzhia,XX,XX,15
24702,Garching,XX,XX,15
25476,Choteau,XX,XX,15
21655,Mpanda,XX,XX,15
28296,Santes Creus,XX,XX,15
18521,Western Barbados,XX,XX,15
20636,Mattanur,XX,XX,15
26435,Santa Cruz de la Palma,XX,XX,15
20552,Engaru,XX,XX,15
18504,West Allis,XX,XX,15
19907,Al Shamal,XX,XX,15
27883,Moià,XX,XX,15
23859,Cedarville,XX,XX,15
23640,Tutrakan,XX,XX,15
22819,Neuland,XX,XX,15
26422,Trenggalek,XX,XX,15
16682,St Levan,XX,XX,15
21412,Olango Island,XX,XX,14
25741,Ihiala,XX,XX,14
27757,Terrassa,XX,XX,14
25658,Auchi,XX,XX,14
22911,Jablanica,XX,XX,14
15237,Saguaro National Park,XX,XX,14
26778,Seil,XX,XX,14
22511,Jianshui,XX,XX,14
24817,Faridpur,XX,XX,14
26227,Otterburn Park,XX,XX,14
25797,Oyigbo,XX,XX,14
19716,Anderson Island,XX,XX,14
27120,Tiwai Island,XX,XX,14
26110,Culturally significant landscapes in Huelva,XX,XX,14
18002,Valparai,XX,XX,14
26361,Pati,XX,XX,14
23678,Mardi Himal trek,XX,XX,14
25680,Odukpani,XX,XX,14
17997,Valleyview,XX,XX,14
26132,Lidingö history tour,XX,XX,14
21749,Arrowsmith Coombs Country,XX,XX,14
19236,National Harbor,XX,XX,14
27721,Fundy-St. Martins,XX,XX,14
24261,Nagymaros,XX,XX,14
17043,Takoma Park,XX,XX,14
15993,Šarkaŭščyna,XX,XX,14
26083,Budakeling,XX,XX,14
22049,Rutland Water,XX,XX,14
21732,Bakhmaro,XX,XX,14
27649,East Central Regional Rail Trail,XX,XX,14
18987,Yosemite National Park,XX,XX,14
23772,Philadelphia International Airport,XX,XX,14
20703,Cauayan (Isabela),XX,XX,14
28154,Pujiang,XX,XX,14
