"destino_id","destino_nome","pais_encontrado","hotel_count","classificacao","acao","prioridade_acao","latitude","longitude","motivo"
"27128","Paratge Natural d'Interès Nacional de l'Albera","España","30","real","manter","","42.4158131","2.8739484","ambiguo (photon: information/office); classificado como real (provavelmente existe)"
"25836","Potiskum","Nigeria","30","real","manter","","11.7122553","11.0762744","lugar (/administrative, imp=0.36)"
"18168","Viljandi","Estonia","30","real","manter","","58.36454","25.5878074","lugar (/administrative, imp=0.56)"
"28223","Sant Cugat del Vallès","Spain","30","real","manter","","41.4707933","2.0848815","lugar (/administrative, imp=0.57)"
"27846","Someren","Netherlands","30","real","manter","","51.3863224","5.6888845","lugar (/administrative, imp=0.48)"
"26146","La Prairie","United States","30","real","manter","","47.228276","-93.489102","lugar (/administrative, imp=0.47)"
"16026","Shellharbour","Australia","30","real","manter","","-34.5864736","150.7693336","lugar (/administrative, imp=0.44)"
"19152","Skowhegan","United States","29","real","manter","","44.7558635","-69.6656301","lugar (/administrative, imp=0.46)"
"27106","Khankendi","Azerbaijan","29","real","manter","","39.8182184","46.751063","lugar (/administrative, imp=0.56)"
"22324","Noord-Beveland","Netherlands","29","real","manter","","51.5652068","3.8009096","lugar (/administrative, imp=0.45)"
"25732","Apapa","Nigeria","29","real","manter","","6.445187","3.3683732","lugar (/administrative, imp=0.40)"
"20131","Lac-Mégantic","Canada","29","real","manter","","45.5772636","-70.8819927","lugar (/administrative, imp=0.44)"
"22313","South Tangerang","Indonesia","29","real","manter","","-6.3227016","106.7085737","lugar (/administrative, imp=0.50)"
